ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio
544610,Strategy,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '31 Aug, 2017'}",1.0,82,3999
226620,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '18 Apr, 2023'}",0.0,20,1499
2391710,"Action, Adventure, Casual, Indie, RPG, Simulation, Free to Play","Single-player, Multi-player, Co-op, Online Co-op, Full controller support, Steam Cloud","{'coming_soon': False, 'date': '10 Nov, 2023'}",1.0,93,
1092040,"Action, Indie","Single-player, Full controller support","{'coming_soon': False, 'date': '15 Dec, 2020'}",0.0,0,0
443910,Simulation,"Single-player, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '16 Jun, 2016'}",0.0,3,3999
2484110,"Adventure, RPG","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases","{'coming_soon': False, 'date': '6 Dec, 2023'}",1.0,1635,
2529130,"Indie, Strategy","Single-player, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud","{'coming_soon': False, 'date': '31 Aug, 2023'}",0.0,18,
2594640,"Action, Adventure, RPG, Simulation",Single-player,"{'coming_soon': False, 'date': '8 Dec, 2023'}",0.0,41,
2140510,"Casual, Indie, RPG, Strategy, Free to Play","Multi-player, PvP, Online PvP, Steam Achievements, In-App Purchases","{'coming_soon': False, 'date': '25 Aug, 2023'}",1.0,544,0
630360,"Indie, Simulation, Strategy","Single-player, Steam Trading Cards, Captions available","{'coming_soon': False, 'date': '19 Jul, 2017'}",0.0,0,0
1188260,"Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Cloud","{'coming_soon': False, 'date': '22 Dec, 2019'}",0.0,5,0
1035510,"Action, Adventure, Casual, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '8 Dec, 2020'}",1.0,40,324
311250,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, VR Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '17 Sep, 2014'}",0.0,0,999
334670,,,,,0,999
7860,Action,"Single-player, Multi-player, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '20 May, 2009'}",1.0,4,499
32330,"Action, Adventure","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '8 Jul, 2009'}",1.0,60,1999
21120,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '21 May, 2010'}",0.0,7,5499
42670,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '30 Jun, 2010'}",1.0,10,2999
99810,,,,,1,1999
63950,Simulation,"Single-player, Multi-player, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled, Stats, Family Sharing","{'coming_soon': False, 'date': '19 Jul, 2011'}",1.0,0,0
57900,Action,"Single-player, Multi-player, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '9 Jun, 2011'}",1.0,46,1999
12130,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '6 Jan, 2011'}",0.0,34,999
212630,Action,"Single-player, Multi-player, Co-op","{'coming_soon': False, 'date': '26 Jun, 2012'}",1.0,19,1999
4720,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '29 Oct, 2012'}",0.0,9,1495
3270,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '30 Oct, 2007'}",1.0,6,499
6920,Action,"Single-player, Full controller support, Family Sharing","{'coming_soon': False, 'date': '29 Mar, 2007'}",0.0,9,699
6980,Action,"Single-player, Full controller support, Family Sharing","{'coming_soon': False, 'date': '29 Mar, 2007'}",0.0,12,899
8080,Action,"Single-player, Multi-player, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '13 Dec, 2007'}",1.0,1,0
242960,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '24 Sep, 2013'}",0.0,2,699
407810,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '3 Jun, 2016'}",0.0,3,1999
259170,"Action, Adventure","Single-player, Family Sharing","{'coming_soon': False, 'date': '29 Oct, 2013'}",0.0,5,999
460810,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '25 May, 2017'}",0.0,13,1999
728740,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '13 May, 2019'}",1.0,45,999
964800,"Action, Adventure, Casual, Indie","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '23 Sep, 2022'}",1.0,70,2499
969990,"Action, Adventure, Casual","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '23 Jun, 2020'}",1.0,85,2999
996580,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '3 Sep, 2019'}",0.0,281,3999
548570,Action,"Single-player, Steam Achievements, Captions available, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '13 May, 2019'}",0.0,84,3999
1920490,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '7 Mar, 2023'}",0.0,192,5999
2096610,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '17 Nov, 2022'}",0.0,90,2999
17710,"Action, Strategy","Multi-player, PvP, Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '26 Sep, 2011'}",1.0,0,999
608110,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '3 May, 2018'}",1.0,1,499
15380,Strategy,"Single-player, Family Sharing","{'coming_soon': False, 'date': '10 Oct, 2008'}",0.0,37,999
1630,Strategy,"Single-player, Multi-player, Co-op, Family Sharing","{'coming_soon': False, 'date': '6 Jul, 2006'}",1.0,57,599
1640,Strategy,"Single-player, Multi-player, Co-op, Family Sharing","{'coming_soon': False, 'date': '6 Jul, 2006'}",1.0,44,599
65600,RPG,"Single-player, Family Sharing","{'coming_soon': False, 'date': '22 Mar, 2011'}",0.0,21,999
227260,Utilities,,"{'coming_soon': False, 'date': '29 Mar, 2013'}",,0,3999
1281800,"Adventure, Free to Play, Indie","Single-player, Steam Achievements, Steam Cloud","{'coming_soon': False, 'date': '29 Apr, 2020'}",0.0,35,0
1286530,"Action, Adventure, Indie, RPG","Single-player, Full controller support, Family Sharing","{'coming_soon': False, 'date': '30 Apr, 2020'}",0.0,0,0
1287840,"RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '21 Oct, 2021'}",1.0,75,999
34190,Racing,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '3 Mar, 2010'}",1.0,26,999
3330,Casual,"Single-player, Family Sharing","{'coming_soon': False, 'date': '30 Aug, 2006'}",0.0,650,499
280180,"Action, Adventure","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, VR Support, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '31 May, 2017'}",1.0,3,1999
439350,"Action, Free to Play, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases, Family Sharing","{'coming_soon': False, 'date': '11 Nov, 2019'}",1.0,0,0
513510,"Action, Casual, Indie","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '4 Nov, 2016'}",1.0,3,299
529110,"Adventure, Indie, Free to Play","Single-player, Partial Controller Support, Commentary available","{'coming_soon': False, 'date': '21 Oct, 2016'}",0.0,1,0
542310,"Adventure, Free to Play, Indie",Single-player,"{'coming_soon': False, 'date': '13 Oct, 2016'}",0.0,1,0
589870,"Action, Adventure, Casual, Free to Play, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Stats","{'coming_soon': False, 'date': '12 May, 2017'}",0.0,142,0
624270,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '27 Sep, 2017'}",0.0,24,1999
637850,"Adventure, Free to Play, Indie, RPG","Single-player, Steam Achievements, Partial Controller Support","{'coming_soon': False, 'date': '27 May, 2017'}",0.0,2,0
659190,"Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Family Sharing","{'coming_soon': False, 'date': '10 Nov, 2017'}",0.0,1,699
696140,"Action, Adventure, Casual, Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '2 Oct, 2017'}",1.0,0,1499
715220,"Action, Free to Play","Multi-player, PvP, Online PvP, In-App Purchases, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '18 Dec, 2019'}",1.0,1,0
809870,"Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '4 Sep, 2018'}",1.0,0,999
813630,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '5 Apr, 2019'}",0.0,59,1999
553660,"Action, Casual, Free to Play, Indie","Multi-player, PvP, Online PvP, Partial Controller Support","{'coming_soon': False, 'date': '6 Apr, 2018'}",1.0,3,0
885640,"Indie, Simulation, Free to Play","Single-player, Steam Achievements","{'coming_soon': False, 'date': '13 Jul, 2018'}",0.0,0,0
908050,"Action, Adventure, Casual, Indie, Racing","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '16 Jul, 2019'}",1.0,0,899
519860,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '10 Dec, 2018'}",1.0,75,1999
1028570,Indie,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together","{'coming_soon': False, 'date': '12 Mar, 2019'}",1.0,1,0
1037130,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '25 Mar, 2021'}",0.0,4,1999
1086410,"Casual, Indie, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Workshop, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '4 Dec, 2020'}",1.0,2,499
1105620,"Action, Casual, Indie","Single-player, Steam Achievements, Stats, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '26 Aug, 2019'}",0.0,0,199
1122720,"Action, Casual","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '12 Dec, 2019'}",0.0,1,1299
382560,"Action, Adventure, Indie, Racing","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Workshop, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '19 Sep, 2019'}",1.0,17,1999
1227800,"Action, Free to Play, Sports, Strategy","Multi-player, PvP, Online PvP, Family Sharing","{'coming_soon': False, 'date': '21 Feb, 2020'}",1.0,0,0
555000,"Action, Early Access","Multi-player, PvP, Online PvP, Steam Achievements, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '10 Jul, 2019'}",1.0,2,599
1377150,"Adventure, Casual","Multi-player, Co-op, Online Co-op, Full controller support, Steam Cloud","{'coming_soon': False, 'date': '28 Aug, 2020'}",1.0,39,0
584640,"Action, Adventure, Casual, Indie, Racing","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '24 Sep, 2021'}",1.0,3,299
2231450,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '26 Jan, 2023'}",0.0,2058,1999
2291760,"Action, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '31 Mar, 2023'}",0.0,239,599
19980,"Action, Adventure","Single-player, Family Sharing","{'coming_soon': False, 'date': '10 Dec, 2008'}",0.0,22,199
356330,,,,,0,0
650700,"Adventure, Casual, Free to Play, Indie","Single-player, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': 'Jan 9, 2018'}",0.0,55,0
740250,"Free to Play, Indie, Massively Multiplayer, Animation & Modeling, Design & Illustration, Education, Software Training, Utilities, Web Publishing, Early Access","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Supported, Partial Controller Support, Includes level editor","{'coming_soon': False, 'date': '4 May, 2018'}",1.0,1,0
1761390,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Stats, Family Sharing","{'coming_soon': False, 'date': '26 May, 2022'}",0.0,290,3939
33900,"Action, Simulation, Strategy","Single-player, Multi-player, Co-op, Captions available, Partial Controller Support, Includes level editor, Family Sharing","{'coming_soon': False, 'date': ''}",1.0,0,1299
245130,,,,,0,0
241560,"Action, Massively Multiplayer, Racing","Single-player, Multi-player, MMO, In-App Purchases, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '2 Dec, 2014'}",1.0,4,0
12250,,"Partial Controller Support, Remote Play on Phone, Remote Play on Tablet, Family Sharing","{'coming_soon': False, 'date': ''}",0.0,0,0
1526180,"Adventure, Indie, Massively Multiplayer, RPG","Multi-player, PvP, LAN PvP, Co-op, LAN Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '12 Nov, 2021'}",1.0,0,299
672630,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '28 Jan, 2021'}",0.0,28,1999
691020,"Violent, Gore, Action, Free to Play, Indie, Massively Multiplayer",Multi-player,"{'coming_soon': False, 'date': '22 Feb, 2018'}",1.0,0,0
1136380,"Simulation, Sports, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '22 Aug, 2022'}",1.0,22,1999
1179680,"Adventure, Free to Play, Indie, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases","{'coming_soon': False, 'date': '24 Jul, 2020'}",1.0,151,0
816180,"Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '26 Apr, 2018'}",0.0,0,99
1421230,Adventure,"Single-player, Full controller support, Family Sharing","{'coming_soon': False, 'date': '8 Oct, 2020'}",0.0,0,0
1449690,Adventure,"Single-player, Steam Achievements, Full controller support, Family Sharing","{'coming_soon': False, 'date': '29 Oct, 2020'}",0.0,616,4999
320240,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '10 Aug, 2018'}",0.0,92,5999
914620,"Action, Adventure, Indie, Simulation, Early Access","Single-player, Family Sharing","{'coming_soon': False, 'date': '14 Aug, 2018'}",0.0,137,1099
1743830,"Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '20 Jul, 2023'}",1.0,8,2499
40400,"Indie, Strategy","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '21 Oct, 2009'}",1.0,2,999
65560,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '25 Feb, 2011'}",0.0,0,499
729460,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing","{'coming_soon': False, 'date': '2 Nov, 2017'}",0.0,1,28
802200,"Action, Indie, Free to Play","Single-player, Full controller support, Steam Cloud, Steam Leaderboards","{'coming_soon': False, 'date': '22 Nov, 2019'}",0.0,2,0
321400,"Action, Casual, Free to Play, Indie, Sports","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Stats","{'coming_soon': False, 'date': '8 Feb, 2019'}",1.0,1,0
703940,Sports,"Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '8 Sep, 2017'}",1.0,1,49
822240,"Adventure, Free to Play, Massively Multiplayer, Simulation, Early Access","Multi-player, MMO, PvP, Online PvP, Cross-Platform Multiplayer, In-App Purchases","{'coming_soon': False, 'date': '11 Dec, 2018'}",1.0,158,0
2237980,"Adventure, Casual, Indie",Single-player,"{'coming_soon': False, 'date': '17 Dec, 2022'}",0.0,5,
298520,"Action, Indie, Simulation, Free to Play","Single-player, Multi-player, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Remote Play Together","{'coming_soon': False, 'date': '7 Aug, 2014'}",1.0,0,0
1238000,"Action, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards","{'coming_soon': False, 'date': '11 Jun, 2020'}",1.0,684,3999
215550,"Violent, Gore, Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Family Sharing","{'coming_soon': False, 'date': '31 Oct, 2016'}",1.0,0,999
251270,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '25 Apr, 2016'}",0.0,5,1499
252610,"Action, Indie, RPG","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '21 Jul, 2016'}",1.0,95,374
